[30-12-2019 15:24:38] - SN:519364127879, MODELO:TG1692A
[30-12-2019 15:24:38] - SN:519364127980, MODELO:TG1692A
[30-12-2019 15:24:38] - SN:519364128081, MODELO:TG1692A
[30-12-2019 15:24:38] - SN:519364128182, MODELO:TG1692A
[30-12-2019 15:24:38] - SN:519364128283, MODELO:TG1692A
[30-12-2019 15:24:38] - SN:519364128384, MODELO:TG1692A
[30-12-2019 15:24:39] - SN:519364128485, MODELO:TG1692A
[30-12-2019 15:24:39] - SN:519364128586, MODELO:TG1692A
[30-12-2019 15:24:39] - SN:519364128687, MODELO:TG1692A
[30-12-2019 15:24:39] - SN:519364128788, MODELO:TG1692A
[30-12-2019 15:24:39] - SN:519364128889, MODELO:TG1692A
[30-12-2019 15:24:39] - SN:519364128990, MODELO:TG1692A
[30-12-2019 15:24:39] - SN:519364129091, MODELO:TG1692A
[30-12-2019 15:24:39] - SN:519364129192, MODELO:TG1692A
[30-12-2019 15:24:39] - SN:519364129293, MODELO:TG1692A
[30-12-2019 15:24:40] - SN:519364129394, MODELO:TG1692A
[30-12-2019 15:24:40] - SN:519364129495, MODELO:TG1692A
[30-12-2019 15:24:40] - SN:519364129596, MODELO:TG1692A
[30-12-2019 15:24:40] - SN:519364129697, MODELO:TG1692A
[30-12-2019 15:24:40] - SN:519364129798, MODELO:TG1692A
[30-12-2019 15:24:40] - SN:519364129899, MODELO:TG1692A
[30-12-2019 15:24:40] - SN:519364129900, MODELO:TG1692A
[30-12-2019 15:24:40] - SN:519364130002, MODELO:TG1692A
[30-12-2019 15:24:40] - SN:519364130103, MODELO:TG1692A
[30-12-2019 15:24:41] - SN:519364130204, MODELO:TG1692A
[30-12-2019 15:24:41] - SN:519364130305, MODELO:TG1692A
[30-12-2019 15:24:41] - SN:519364130406, MODELO:TG1692A
[30-12-2019 15:24:41] - SN:519364130507, MODELO:TG1692A
[30-12-2019 15:24:41] - SN:519364130608, MODELO:TG1692A
[30-12-2019 15:24:41] - SN:519364130709, MODELO:TG1692A
[30-12-2019 15:24:41] - SN:519364130810, MODELO:TG1692A
[30-12-2019 15:24:41] - SN:519364130911, MODELO:TG1692A
[30-12-2019 15:24:41] - SN:519364131012, MODELO:TG1692A
[30-12-2019 15:24:42] - SN:519364131113, MODELO:TG1692A
[30-12-2019 15:24:42] - SN:519364131214, MODELO:TG1692A
[30-12-2019 15:24:42] - SN:519364131315, MODELO:TG1692A
[30-12-2019 15:24:42] - SN:519364131416, MODELO:TG1692A
[30-12-2019 15:24:42] - SN:519364131517, MODELO:TG1692A
[30-12-2019 15:24:42] - SN:519364131618, MODELO:TG1692A
[30-12-2019 15:24:42] - SN:519364131719, MODELO:TG1692A
[30-12-2019 15:24:42] - SN:519364131820, MODELO:TG1692A
[30-12-2019 15:24:42] - SN:519364131921, MODELO:TG1692A
[30-12-2019 15:24:43] - SN:519364132022, MODELO:TG1692A
[30-12-2019 15:24:43] - SN:519364132123, MODELO:TG1692A
[30-12-2019 15:24:43] - SN:519364132224, MODELO:TG1692A
[30-12-2019 15:24:43] - SN:519364132325, MODELO:TG1692A
[30-12-2019 15:24:43] - SN:519364132426, MODELO:TG1692A
[30-12-2019 15:24:43] - SN:519364132527, MODELO:TG1692A
[30-12-2019 15:24:43] - SN:519364132628, MODELO:TG1692A
[30-12-2019 15:24:43] - SN:519364132729, MODELO:TG1692A
[30-12-2019 15:24:43] - SN:519364132830, MODELO:TG1692A
[30-12-2019 15:24:44] - SN:519364132931, MODELO:TG1692A
[30-12-2019 15:24:44] - SN:519364133032, MODELO:TG1692A
[30-12-2019 15:24:44] - SN:519364133133, MODELO:TG1692A
[30-12-2019 15:24:44] - SN:519364133234, MODELO:TG1692A
[30-12-2019 15:24:44] - SN:519364133335, MODELO:TG1692A
[30-12-2019 15:24:44] - SN:519364133436, MODELO:TG1692A
[30-12-2019 15:24:44] - SN:519364133537, MODELO:TG1692A
[30-12-2019 15:24:44] - SN:519364133638, MODELO:TG1692A
[30-12-2019 15:24:44] - SN:519364133739, MODELO:TG1692A
[30-12-2019 15:24:45] - SN:519364133840, MODELO:TG1692A
[30-12-2019 15:24:45] - SN:519364133941, MODELO:TG1692A
[30-12-2019 15:24:45] - SN:519364134042, MODELO:TG1692A
[30-12-2019 15:24:45] - SN:519364134143, MODELO:TG1692A
[30-12-2019 15:24:45] - SN:519364134244, MODELO:TG1692A
[30-12-2019 15:24:45] - SN:519364134345, MODELO:TG1692A
[30-12-2019 15:24:45] - SN:519364134446, MODELO:TG1692A
[30-12-2019 15:24:45] - SN:519364134547, MODELO:TG1692A
[30-12-2019 15:24:45] - SN:519364134648, MODELO:TG1692A
[30-12-2019 15:24:46] - SN:519364134749, MODELO:TG1692A
[30-12-2019 15:24:46] - SN:519364134850, MODELO:TG1692A
[30-12-2019 15:24:46] - SN:519364134951, MODELO:TG1692A
[30-12-2019 15:24:46] - SN:519364135052, MODELO:TG1692A
[30-12-2019 15:24:46] - SN:519364135153, MODELO:TG1692A
[30-12-2019 15:24:46] - SN:519364135254, MODELO:TG1692A
[30-12-2019 15:24:46] - SN:519364135355, MODELO:TG1692A
[30-12-2019 15:24:46] - SN:519364135456, MODELO:TG1692A
[30-12-2019 15:24:46] - SN:519364135557, MODELO:TG1692A
[30-12-2019 15:24:46] - SN:519364135658, MODELO:TG1692A
[30-12-2019 15:24:47] - SN:519364135759, MODELO:TG1692A
[30-12-2019 15:24:47] - SN:519364135860, MODELO:TG1692A
[30-12-2019 15:24:47] - SN:519364135961, MODELO:TG1692A
[30-12-2019 15:24:47] - SN:519364136062, MODELO:TG1692A
[30-12-2019 15:24:47] - SN:519364136163, MODELO:TG1692A
[30-12-2019 15:24:47] - SN:519364136264, MODELO:TG1692A
[30-12-2019 15:24:47] - SN:519364136365, MODELO:TG1692A
[30-12-2019 15:24:47] - SN:519364136466, MODELO:TG1692A
[30-12-2019 15:24:47] - SN:519364136567, MODELO:TG1692A
[30-12-2019 15:24:48] - SN:519364136668, MODELO:TG1692A
[30-12-2019 15:24:48] - SN:519364136769, MODELO:TG1692A
[30-12-2019 15:24:48] - SN:519364136870, MODELO:TG1692A
[30-12-2019 15:24:48] - SN:519364136971, MODELO:TG1692A
[30-12-2019 15:24:48] - SN:519364137072, MODELO:TG1692A
[30-12-2019 15:24:48] - SN:519364137173, MODELO:TG1692A
[30-12-2019 15:24:48] - SN:519364137274, MODELO:TG1692A
